App Name,URL,Categories,Industries
XfleX for Building Technology,https://marketplace.bexio.com/en-GB/apps/126061/xflex-for-building-technology,Industry solutions,"Construction, Craft & Maintenance, Services & IT"
Shopware interface for bexio,https://marketplace.bexio.com/en-GB/apps/126063/shopware-interface-for-bexio,Connector apps,"Trade & E-Commerce, Services & IT, Manufacturing & Production, Agencies & Creatives"
Alloy Ads,https://marketplace.bexio.com/en-GB/apps/131130/alloy-ads,"CRM & marketing, Analytics & reporting","Services & IT, Agencies & Creatives"
JUSTgreen,https://marketplace.bexio.com/en-GB/apps/133652/justgreen,"Time tracking & appointment scheduling, Industry solutions, Receipts & expenses","Construction, Craft & Maintenance, Agriculture & Environment"
jobalino,https://marketplace.bexio.com/en-GB/apps/126055/jobalino,Industry solutions,"Trade & E-Commerce, Healthcare, Services & IT, Agencies & Creatives"
XfleX for Painters,https://marketplace.bexio.com/en-GB/apps/126062/xflex-for-painters,Industry solutions,"Construction, Craft & Maintenance, Services & IT"
Arcavis,https://marketplace.bexio.com/en-GB/apps/128486/arcavis,Sales,Trade & E-Commerce
Aequitec,https://marketplace.bexio.com/en-GB/apps/132156/aequitec,"Finances & Accounting, Analytics & reporting",New
Accrio · Fixed Assets,https://marketplace.bexio.com/en-GB/apps/126056/accrio-%C2%B7-fixed-assets,Finances & Accounting,Developed for bexio
Microsoft Power BI,https://marketplace.bexio.com/en-GB/apps/126000/microsoft-power-bi,Analytics & reporting,"Trade & E-Commerce, Construction, Craft & Maintenance, Services & IT, Transport & Logistics, Manufacturing & Production, Associations, Organizations & NPO, Agencies & Creatives"
TimeShepherd,https://marketplace.bexio.com/en-GB/apps/126002/timeshepherd,Time tracking & appointment scheduling,"Trade & E-Commerce, Construction, Craft & Maintenance, Healthcare, Gastronomy & Hospitality, Services & IT, Transport & Logistics, Manufacturing & Production, Finance & Insurance, Associations, Organizations & NPO, Agencies & Creatives"
Cyber Risk Monitoring,https://marketplace.bexio.com/en-GB/apps/128378/cyber-risk-monitoring,"Security & digital archiving, Analytics & reporting",Services & IT
SwissCall.net,https://marketplace.bexio.com/en-GB/apps/131049/swisscallnet,Sales,New
Revoxio,https://marketplace.bexio.com/en-GB/apps/132388/revoxio,"Connector apps, Receipts & expenses, Finances & Accounting","Services & IT, Finance & Insurance"
HOMER,https://marketplace.bexio.com/en-GB/apps/134240/homer,Industry solutions,New
bexio Pipedrive Data Transfer App,https://marketplace.bexio.com/en-GB/apps/125842/bexio-pipedrive-data-transfer-app,Connector apps,Developed for bexio
Accrio · Accruals,https://marketplace.bexio.com/en-GB/apps/126057/accrio-%C2%B7-accruals,Finances & Accounting,Developed for bexio
